,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,peliLarga
2692,s2693,Movie,LA Originals,,,"United States, Argentina","April 10, 2020",2020,TV-MA,92 min,"Documentaries, International Movies, Music & Musicals","Photographer Estevan Oriol and artist Mister Cartoon turned their Chicano roots into gritty art, impacting street culture, hip hop and beyond.",0
1438,s1439,Movie,Tony Parker: The Final Shot,Florent Bodin,Tony Parker,France,"January 6, 2021",2020,TV-14,99 min,"Documentaries, International Movies, Sports Movies","This film examines the background and career of Tony Parker, whose determination led him to become arguably the greatest French basketball player.",0
2652,s2653,Movie,Circus of Books,Rachel Mason,,United States,"April 22, 2020",2020,TV-MA,87 min,"Documentaries, LGBTQ Movies","For decades, a nice Jewish couple ran Circus of Books, a porn shop and epicenter for gay LA. Their director daughter documents their life and times.",0
2608,s2609,Movie,Murder to Mercy: The Cyntoia Brown Story,,,United States,"April 29, 2020",2020,TV-MA,97 min,Documentaries,"After 16-year-old Cyntoia Brown is sentenced to life in prison, questions about her past, physiology and the law itself call her guilt into question.",0
2604,s2605,Movie,A Secret Love,Chris Bolan,,United States,"April 29, 2020",2020,TV-14,83 min,"Documentaries, LGBTQ Movies","Amid shifting times, two women kept their decades-long love a secret. But coming out later in life comes with its own set of challenges.",0
1518,s1519,Movie,Ma Rainey's Black Bottom: A Legacy Brought to Screen,,"Glynn Turman, Denzel Washington, George C. Wolfe, Branford Marsalis, Viola Davis, Imani Perry, Michael Potts, Coleman Domingo, Constanza Romero, August Wilson, Todd Black, Dusan Brown, Taylour Paige, Ann Roth, Chadwick Boseman",,"December 18, 2020",2020,TV-PG,32 min,"Documentaries, Music & Musicals","Viola Davis, Denzel Washington, George C. Wolfe and more share the heart, soul and history that brought August Wilson’s timeless play to the screen.",0
1577,s1578,Movie,Emicida: AmarElo - It’s All For Yesterday,,Emicida,Brazil,"December 8, 2020",2020,TV-MA,90 min,"Documentaries, International Movies, Music & Musicals","Between scenes from his concert in São Paulo's Theatro Municipal, rapper and activist Emicida celebrates the rich legacy of Black Brazilian culture.",0
1558,s1559,Movie,Giving Voice,"James D. Stern, Fernando Villena","Viola Davis, Denzel Washington, Stephen Henderson, Freedom Martin, Nia Sarfo, Cody Merridith, Gerardo Navarro, Aaron Guy, Callie Holley",United States,"December 11, 2020",2020,PG-13,91 min,Documentaries,"Six ambitious student actors audition for the prestigious August Wilson Monologue Competition, culminating in a riveting final round on Broadway.",0
1575,s1576,Movie,André & his olive tree,Josiah Ng,André Chiang,Singapore,"December 8, 2020",2020,TV-PG,104 min,"Documentaries, International Movies","As he prepares to close his restaurant, Michelin-starred Chef André Chiang embarks on a personal and emotional journey of reflection.",0
2559,s2560,Movie,Becoming,Nadia Hallgren,Michelle Obama,United States,"May 6, 2020",2020,PG,89 min,Documentaries,"Join former first lady Michelle Obama in an intimate documentary looking at her life, hopes and connection with others as she tours with ""Becoming.""",0
1509,s1510,Movie,"Ariana grande: excuse me, i love you",Paul Dugdale,Ariana Grande,United States,"December 21, 2020",2020,TV-MA,98 min,"Documentaries, Music & Musicals",Ariana Grande takes the stage in London for her Sweetener World Tour and shares a behind-the-scenes look at her life in rehearsal and on the road.,0
1193,s1194,Movie,Wave of Cinema: 90's Generation,Adriano Rudiman,"PADI Reborn, Dul Jaelani, Efek Rumah Kaca, Jevin Julian, Gamaliel, ARAH, Sitha Marino, M. Irfan Ramli",,"March 18, 2021",2020,TV-PG,51 min,"Documentaries, International Movies, Music & Musicals","Walk down memory lane and experience the soundtrack to beloved film ""Generasi 90an: Melankolia"" through nostalgic performances.",0
2949,s2950,Movie,Uppity: The Willy T. Ribbs Story,"Nate Adams, Adam Carolla",Willy T. Ribbs,United States,"February 5, 2020",2020,TV-MA,106 min,"Documentaries, Sports Movies","This documentary profiles a defiant driver who challenged racial barriers in American auto racing, becoming the first black man to race in the Indy 500.",0
1204,s1205,Movie,The Last Blockbuster,Taylor Morden,,United States,"March 15, 2021",2020,TV-14,87 min,Documentaries,"This nostalgic documentary reveals the real story of Blockbuster's demise, and how one last location in Oregon keeps the spirit of a bygone era alive.",0
1207,s1208,Movie,Audrey,Helena Coan,Audrey Hepburn,,"March 14, 2021",2020,TV-14,101 min,Documentaries,"An intimate portrait of legendary Hollywood actress, fashion icon and humanitarian Audrey Hepburn, who stood for love above all else.",0
5972,s5973,Movie,#cats_the_mewvie,Michael Margolis,,Canada,"February 5, 2020",2020,TV-14,90 min,"Documentaries, International Movies","This pawesome documentary explores how our feline friends became online icons, from the earliest text memes to the rise of celebrity cat influencers.",0
1147,s1148,Movie,Not a Game,Jose Gomez,Brendon Mcdonnell,United Kingdom,"March 31, 2021",2020,TV-MA,98 min,"Documentaries, International Movies, Sports Movies","This documentary offers an honest look at our fraught, complex relationship to video games from the perspectives of gamers and their concerned parents.",0
1161,s1162,Movie,Elizabeth and Margaret: Love and Loyalty,,,United Kingdom,"March 26, 2021",2020,TV-PG,87 min,Documentaries,"This documentary takes an intimate look at the complex, widely misunderstood relationship between Queen Elizabeth II and her sister, Princess Margaret.",0
2975,s2976,Movie,Miss Americana,Lana Wilson,Taylor Swift,United States,"January 31, 2020",2020,TV-MA,85 min,"Documentaries, Music & Musicals","In this revealing documentary, Taylor Swift embraces her role as a songwriter and performer — and as a woman harnessing the full power of her voice.",0
2711,s2712,Movie,Money Heist: The Phenomenon,"Pablo Lejarreta, Luis Alfaro",,Spain,"April 3, 2020",2020,TV-MA,57 min,"Documentaries, International Movies","A documentary on why and how ""Money Heist"" sparked a wave of enthusiasm around the world for a lovable group of thieves and their professor.",0
2776,s2777,Movie,Making Unorthodox,Marlene Melchior,,Germany,"March 26, 2020",2020,TV-G,21 min,"Documentaries, International Movies",A look at the making of one of the first series to authentically portray and explore issues in a Hasidic community as they pertain to women's lives.,0
1279,s1280,Movie,Made You Look: A True Story About Fake Art,Barry Avrich,,Canada,"February 23, 2021",2020,TV-14,90 min,"Documentaries, International Movies","A woman walks into a New York gallery with a cache of unknown masterworks. Thus begins a story of art world greed, willfulness and a high-stakes con.",0
1289,s1290,Movie,Wave of Cinema: Surat dari Timur,Saron Sakina,"Glenn Fredly, Marcello Tahitoe, Andien, Rahmania Astrini, Gamaliel, Cantika Abigail, Ivan Nestorman, Molukka Hiphop Community, Julie Estelle, Yovie Widianto, Irfan Ramli",,"February 20, 2021",2020,TV-G,58 min,"Documentaries, International Movies, Music & Musicals","Featuring a mix of film footage and special performances, this virtual concert honors the memory and music of revered Indonesian singer Glenn Fredly.",0
2779,s2780,Movie,Crip Camp: A Disability Revolution,,,United States,"March 25, 2020",2020,R,108 min,Documentaries,"A groundbreaking summer camp galvanizes a group of teens with disabilities to help build a movement, forging a new path toward greater equality.",0
2786,s2787,Movie,A Life of Speed: The Juan Manuel Fangio Story,Francisco Macri,,Argentina,"March 20, 2020",2020,TV-14,93 min,"Documentaries, International Movies, Sports Movies","Juan Manuel Fangio was the Formula One king, winning five world championships in the early 1950s — before protective gear or safety features were used.",0
1636,s1637,Movie,Dance Dreams: Hot Chocolate Nutcracker,Oliver Bokelberg,Debbie Allen,United States,"November 27, 2020",2020,TV-PG,81 min,"Children & Family Movies, Documentaries","This documentary spotlights Debbie Allen's career and follows her group of dance students as they prepare for Allen's annual ""Hot Chocolate Nutcracker.""",0
2095,s2096,Movie,Making The Witcher,Nathan Wiley,"Henry Cavill, Anya Chalotra, Freya Allan, Eamon Farren, Mimi Ndiweni, Adam Levy, MyAnna Buring, Joey Batey, Lauren Schmidt Hissrich, Tomasz Bagiński, Andrew Laws, Sneha Koorse, Declan De Barra, Beau DeMayo, Simon Emanuel, Iván Pohárnok, Tim Aslam, Charlotte Brändström",United States,"August 26, 2020",2020,TV-MA,33 min,Documentaries,"Journey into the extraordinary world of ""The Witcher"" — from casting the roles to Jaskier's catchy song — in this behind-the-scenes look at the series.",0
2372,s2373,Movie,One Take,Manatsanun Phanlerdwongsakul,BNK48,Thailand,"June 18, 2020",2020,TV-G,86 min,"Documentaries, International Movies, Music & Musicals",Members of Thai girl group BNK48 share the ups and downs of preparing for the 6th Single Senbatsu General Election.,0
2097,s2098,Movie,Rising Phoenix,,,United Kingdom,"August 26, 2020",2020,PG-13,107 min,"Documentaries, International Movies, Sports Movies","Elite athletes and insiders reflect on the Paralympic Games and examine how they impact a global understanding of disability, diversity and excellence.",0
2370,s2371,Movie,El límite infinito,Pablo Aulita,Jean Maggi,,"June 18, 2020",2020,TV-PG,48 min,"Documentaries, International Movies, Sports Movies","From early struggles to his climb up the Himalayas, Jean Maggi gets profiled in this documentary that highlights his advancement of adaptive sports.",0
2109,s2110,Movie,John Was Trying to Contact Aliens,,,United States,"August 20, 2020",2020,TV-PG,17 min,"Documentaries, LGBTQ Movies","A rural electronics whiz broadcasts radio signals into space and monitors for signs of aliens, but makes a more important connection here on Earth.",0
2128,s2129,Movie,Beyond the Boundary: ICC Women's T20 World Cup Australia 2020,Anna Stone,,,"August 14, 2020",2020,TV-G,59 min,"Documentaries, International Movies, Sports Movies","With highlights from the 2020 tourney, this program offers an inside look at the global showcase for women's cricket — the ICC Women's T20 World Cup.",0
1999,s2000,Movie,Hope Frozen: A Quest to Live Twice,Pailin Wedel,,"Thailand, United States","September 15, 2020",2020,TV-PG,80 min,"Documentaries, International Movies","A Thai scientist and his family decide to cryonically freeze their cherished, dying toddler. This heartfelt documentary follows their journey.",0
2035,s2036,Movie,The Social Dilemma,Jeff Orlowski,"Skyler Gisondo, Kara Hayward, Vincent Kartheiser",United States,"September 9, 2020",2020,PG-13,94 min,Documentaries,"This documentary-drama hybrid explores the dangerous human impact of social networking, with tech experts sounding the alarm on their own creations.",0
2038,s2039,Movie,My Octopus Teacher,"Pippa Ehrlich, James Reed",,South Africa,"September 7, 2020",2020,TV-G,86 min,"Children & Family Movies, Documentaries, International Movies","A filmmaker forges an unusual friendship with an octopus living in a South African kelp forest, learning as the animal shares the mysteries of her world.",0
2057,s2058,Movie,Sky Tour: The Movie,Nguyen Thanh Tung,Son Tung M-TP,Vietnam,"September 2, 2020",2020,TV-G,93 min,"Documentaries, International Movies, Music & Musicals","From the preparations to the performances, this documentary showcases Vietnamese pop idol Sơn Tùng M-TP and the passion behind his Sky Tour concerts.",0
2228,s2229,Movie,Father Soldier Son,"Leslye Davis, Catrin Einhorn",,United States,"July 17, 2020",2020,R,100 min,Documentaries,"After a single father is severely wounded in Afghanistan, he and his sons embark on a journey of sacrifice and a search for redemption.",0
2243,s2244,Movie,We Are One,Stéphane de Freitas,,France,"July 14, 2020",2020,TV-MA,86 min,"Documentaries, International Movies, Music & Musicals","Activists around the world fight injustice and drive social change in this documentary that follows their participation in the music video ""Solidarité.""",0
2248,s2249,Movie,The Claudia Kishi Club,Sue Ding,,United States,"July 10, 2020",2020,TV-14,17 min,Documentaries,"Asian American creatives pay passionate tribute to the iconic, stereotype-busting ""Baby-Sitters Club"" character in this heartfelt documentary short.",0
2257,s2258,Movie,Mucho Mucho Amor: The Legend of Walter Mercado,"Cristina Costantini, Kareem Tabsch",Walter Mercado,United States,"July 8, 2020",2020,TV-14,96 min,"Documentaries, LGBTQ Movies","Dazzling and tender-hearted, legendary astrologer Walter Mercado vanished at the peak of his fame. This documentary poignantly explains what happened.",0
2161,s2162,Movie,Nasha Natasha,Martín Sastre,Natalia Oreiro,Uruguay,"August 6, 2020",2020,TV-PG,72 min,"Documentaries, International Movies, Music & Musicals",Concert and behind-the-scenes footage capture life on tour for Uruguayan sensation Natalia Oreiro as she performs for packed crowds throughout Russia.,0
2163,s2164,Movie,Anelka: Misunderstood,Franck Nataf,Nicolas Anelka,France,"August 5, 2020",2020,TV-14,95 min,"Documentaries, International Movies, Sports Movies","Inscrutable, incomparable or both? Famed French footballer Nicolas Anelka’s controversial legacy is explored in this in-depth documentary.",0
2199,s2200,Movie,The Speed Cubers,Sue Kim,,United States,"July 29, 2020",2020,TV-PG,41 min,Documentaries,This documentary captures the extraordinary twists and turns in the journeys of Rubik's Cube-solving champions Max Park and Feliks Zemdegs.,0
2355,s2356,Movie,Disclosure,,,United States,"June 19, 2020",2020,TV-MA,108 min,"Documentaries, LGBTQ Movies","In this documentary, leading trans creatives and thinkers share heartfelt perspectives and analysis about Hollywood's impact on the trans community.",0
2341,s2342,Movie,Athlete A,"Bonni Cohen, Jon Shenk",,United States,"June 24, 2020",2020,PG-13,104 min,"Documentaries, Sports Movies",This documentary focuses on the gymnasts who survived USA Gymnastics doctor Larry Nassar's abuse and the reporters who exposed USAG's toxic culture.,0
1704,s1705,Movie,The Beginning of Life 2: Outside,Renata Terra,,Brazil,"November 13, 2020",2020,TV-PG,92 min,"Documentaries, International Movies","As urbanization expands throughout society, this documentary discusses the value of finding ways for children to forge real connections with nature.",0
1745,s1746,Movie,Ya no estoy aquí: Una conversación entre Guillermo del Toro y Alfonso Cuarón,,"Guillermo del Toro, Alfonso Cuarón",,"November 3, 2020",2020,TV-PG,15 min,Documentaries,"Guillermo del Toro and Alfonso Cuarón discuss fellow Mexican director Fernando Frías de la Parra's award-winning film ""I'm No Longer Here.""",0
2547,s2548,Movie,Have a Good Trip: Adventures in Psychedelics,Donick Cary,"Nick Offerman, Adam Scott",United States,"May 11, 2020",2020,TV-MA,86 min,Documentaries,"Explore hallucinogenic highs and lows as celebrities share funny, mind-blowing tales via animations, reenactments and more in this documentary.",0
1660,s1661,Movie,Shawn Mendes: In Wonder,Grant Singer,Shawn Mendes,United States,"November 23, 2020",2020,TV-MA,83 min,"Documentaries, Music & Musicals","Over the course of a world tour, this unguarded documentary follows Shawn Mendes as he opens up about his stardom, relationships and musical future.",0
1926,s1927,Movie,American Murder: The Family Next Door,Jenny Popplewell,,United States,"September 30, 2020",2020,TV-MA,84 min,Documentaries,"Using raw, firsthand footage, this documentary examines the disappearance of Shanann Watts and her children, and the terrible events that followed.",0
1886,s1887,Movie,David Attenborough: A Life on Our Planet,"Alastair Fothergill, Jonnie Hughes, Keith Scholey",David Attenborough,"United States, United Kingdom","October 4, 2020",2020,PG,84 min,Documentaries,"A broadcaster recounts his life, and the evolutionary history of life on Earth, to grieve the loss of wild places and offer a vision for the future.",0
1887,s1888,Movie,"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",Amy Segal,"Daniel Levy, Eugene Levy, Catherine O'Hara, Annie Murphy, Chris Elliott, Emily Hampshire, Sarah Levy, Jennifer Robertson, Noah Reid, Dustin Milligan, Karen Robinson, Rizwan Manji",Canada,"October 3, 2020",2020,TV-MA,44 min,"Documentaries, LGBTQ Movies","From unseen footage to the last table read, this documentary takes an inside look at the final season of the acclaimed comedy series ""Schitt's Creek.""",0
2431,s2432,Movie,Spelling the Dream,Sam Rega,,United States,"June 3, 2020",2020,TV-G,83 min,"Children & Family Movies, Documentaries","Following four hopeful competitors, this documentary explores Indian Americans' decades-long success at the biggest spelling contest in the U.S.",0
1932,s1933,Movie,The Boys in the Band: Something Personal,,"Jim Parsons, Zachary Quinto, Matt Bomer, Andrew Rannells, Charlie Carver, Robin de Jesús, Brian Hutchison, Michael Benjamin Washington, Tuc Watkins, Joe Mantello, Ned Martel, Mart Crowley",United States,"September 30, 2020",2020,TV-MA,28 min,"Documentaries, LGBTQ Movies","Decades after his play first put gay life center stage, Mart Crowley joins the cast and crew of the 2020 film to reflect on the story's enduring legacy.",0
1960,s1961,Movie,Kiss the Ground,"Joshua Tickell, Rebecca Harrell Tickell",Woody Harrelson,United States,"September 22, 2020",2020,TV-G,85 min,Documentaries,Science experts and celebrity activists unpack the ways in which the earth's soil may be the key to combating climate change and preserving the planet.,0
1962,s1963,Movie,A Love Song for Latasha,Sophia Nahli Allison,,United States,"September 21, 2020",2020,TV-PG,20 min,Documentaries,The killing of Latasha Harlins became a flashpoint for the 1992 LA uprising. This documentary evocatively explores the 15-year-old's life and dreams.,0
1984,s1985,Movie,GIMS: On the Record,Florent Bodin,Maître Gims,France,"September 17, 2020",2020,TV-MA,96 min,"Documentaries, International Movies, Music & Musicals",Go backstage with beloved rap superstar Gims in the year leading up to his major 2019 Stade de France performance in this up-close documentary.,0
1874,s1875,Movie,Bigflo & Oli: Hip Hop Frenzy,"Bigflo & Oli, Jérémie Levypon",Bigflo & Oli,France,"October 8, 2020",2020,TV-MA,100 min,"Documentaries, International Movies, Music & Musicals","Go backstage with French rap duo Bigflo & Oli in this intimate music documentary, then join the superstar siblings as they embark on a major tour.",0
1789,s1790,Movie,Secrets of the Saqqara Tomb,James Tovell,,United States,"October 28, 2020",2020,TV-PG,114 min,Documentaries,"After unearthing a tomb that had been untouched for 4,400 years, Egyptian archaeologists attempt to decipher the history of the extraordinary find.",0
1792,s1793,Movie,Guillermo Vilas: Settling the Score,Matías Gueilburt,,Argentina,"October 27, 2020",2020,TV-14,95 min,"Documentaries, International Movies, Sports Movies","An Argentine journalist strives to prove that his countryman, tennis star Guillermo Vilas, was wrongly denied the No. 1 world ranking in the 1970s.",0
1812,s1813,Movie,Brave Blue World: Racing to Solve Our Water Crisis,Tim Neeves,"Liam Neeson, Matt Damon, Jaden Smith","Canada, United Kingdom","October 21, 2020",2020,TV-PG,51 min,"Documentaries, International Movies","From reuse to energy generation, new innovations across five continents are explored in this documentary about building a future for sustainable water.",0
1853,s1854,Movie,Rooting for Roona,"Pavitra Chalam, Akshay Shankar",,India,"October 15, 2020",2020,TV-PG,42 min,"Documentaries, International Movies","In rural India, a child with hydrocephalus gets a chance at life-changing surgery after her photos go viral. This documentary charts her journey.",0
1856,s1857,Movie,BLACKPINK: Light Up the Sky,Caroline Suh,Blackpink,United States,"October 14, 2020",2020,TV-14,80 min,"Documentaries, Music & Musicals",Record-shattering Korean girl band BLACKPINK tell their story — and detail the hard-fought journey of the dreams and trials behind their meteoric rise.,0
1857,s1858,Movie,The Three Deaths of Marisela Escobedo,Carlos Pérez Osorio,,Mexico,"October 14, 2020",2020,TV-MA,110 min,"Documentaries, International Movies",This documentary examines a mother's tireless crusade to jail her daughter's murderer after Mexico's justice system failed to do so.,0
0,s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,,United States,"September 25, 2021",2020,PG-13,90 min,Documentaries,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",0
2929,s2930,Movie,ROAD TO ROMA,Andres Clariond,,Mexico,"February 11, 2020",2020,TV-PG,73 min,"Documentaries, International Movies","Director Alfonso Cuarón reflects on the childhood memories, period details and creative choices that shaped his Academy Award-winning film ""ROMA.""",0
769,s770,Movie,From Stress to Happiness,"Alejandro De Grazia, Juan Stadler",,Argentina,"June 3, 2021",2020,TV-G,58 min,"Documentaries, International Movies","A stressed-out documentary filmmaker goes on a journey of discovery with a pair of monks, one of whom is known as ""the happiest man in the world.""",0
860,s861,Movie,Hating Peter Tatchell,Christopher Amos,,Australia,"May 20, 2021",2020,TV-MA,91 min,"Documentaries, International Movies, LGBTQ Movies",This documentary follows gay rights activist Peter Tatchell from his early life to his fight for justice amid controversy and political turmoil.,0
1039,s1040,Movie,Dark City Beneath the Beat,TT The Artist,"Uneek, Mighty Mark, Tsu Terry, TT The Artist",United States,"April 15, 2021",2020,TV-MA,65 min,"Documentaries, Music & Musicals","In this documentary, TT the Artist captures the irrepressible bounce and infectious beats of a Baltimore club scene that demands to be seen and heard.",0
1054,s1055,Movie,Wave of Cinema: One Day We'll Talk About Today,Adriano Rudiman,"Isyana Sarasvati, Kunto Aji, Sisir Tanah, Chiki Fawzi, ARAH, Hindia, Ardhito Pramono, Rio Dewanto, Angga Dwimas Sasongko, Rachel Amanda",,"April 15, 2021",2020,TV-14,71 min,"Documentaries, International Movies, Music & Musicals","Delve into a musical concert and relive moments from ""One Day We'll Talk About Today,"" a film about family and intergenerational trauma.",0
907,s908,Movie,In Our Mothers' Gardens,Shantrelle P. Lewis,,United States,"May 7, 2021",2020,TV-MA,85 min,Documentaries,An unplanned pregnancy upends the carefree lives of a young woman and her flatmate as they discover the struggles of single motherhood.,0
893,s894,Movie,Wave of Cinema: Filosofi Kopi,Adriano Rudiman,"Maliq & D'Essentials, Fourtwnty, Gede Robi, Nadin Amizah, Ananda Badudu, Leanna Rachel, Rio Dewanto, Chicco Jerikho",,"May 13, 2021",2020,TV-14,64 min,"Documentaries, International Movies, Music & Musicals","In this concert film, artists perform music from the soundtrack of ""Filosofi Kopi,"" which tells the story of coffee and the people who cherish it.",0
16,s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",,,"September 22, 2021",2020,TV-MA,67 min,"Documentaries, International Movies","Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.",0
727,s728,Movie,Picture a Scientist,"Ian Cheney, Sharon Shattuck",,United States,"June 13, 2021",2020,TV-MA,97 min,Documentaries,"In this documentary, leading women scientists discuss the inequalities they've faced as they set out to create a new formula to make STEM open to all.",0
367,s368,Movie,I'm Glad I Did,Selçuk Metin,"Metin Akpınar, Demet Akbağ, Umur Bugay, Ahmet Gülhan, Dikmen Gürün, Kandemir Konduk, Perran Kutman, Zeynep Oral, Nevra Serezli, Selma Sonat, Suat Sungur, Ferhan Şensoy, Cihat Tamer, Demet Taner",,"July 30, 2021",2020,TV-14,114 min,"Documentaries, International Movies",Glimpse into the life and decades-long career of Turkish performer Metin Akpınar through personal interviews with him and his contemporaries.,0
1097,s1098,Movie,Coded Bias,Shalini Kantayya,,"United States, China, United Kingdom","April 5, 2021",2020,TV-MA,86 min,Documentaries,This documentary investigates the bias in algorithms after M.I.T. Media Lab researcher Joy Buolamwini uncovered flaws in facial recognition technology.,0
473,s474,Movie,Born to Play,Viridiana Lieberman,,United States,"July 12, 2021",2020,TV-MA,93 min,"Documentaries, Sports Movies","This documentary follows the Boston Renegades — an all-woman, tackle football team — as they risk their time, families and day jobs for the game.",0
